Pantone Code,hexacode,red,green,bleu
1Y01,c8ac99,200,172,153
1Y02,c8a995,200,169,149
1Y03,c5a691,197,166,145
1Y04,c2a38e,194,163,142
1Y05,be9d86,190,157,134
1Y06,bb9881,187,152,129
1Y07,b69279,182,146,121
1Y08,b1886c,177,136,108
1Y09,a87f64,168,127,100
1Y10,a0765a,160,118,90
1Y11,946c51,148,108,81
1Y12,876249,135,98,73
1Y13,775741,119,87,65
1Y14,64493c,100,73,60
1Y15,664d3c,102,77,60
1R01,c2aca2,194,172,162
1R02,c7a896,199,168,150
1R03,c7a694,199,166,148
1R04,c3a38f,195,163,143
1R05,bf9f8c,191,159,140
1R06,bb9983,187,153,131
1R07,b7927b,183,146,123
1R08,b3886e,179,136,110
1R09,ab8167,171,129,103
1R10,a2785d,162,120,93
1R11,976c52,151,108,82
1R12,866048,134,96,72
1R13,775642,119,86,66
1R14,5f4a3a,95,74,58
1R15,544338,84,67,56
2Y01,cbab99,203,171,153
2Y02,c9a996,201,169,150
2Y03,c8a793,200,167,147
2Y04,c3a28f,195,162,143
2Y05,be9c87,190,156,135
2Y06,bd9983,189,153,131
2Y07,b5927b,181,146,123
2Y08,af8870,175,136,112
2Y09,a98167,169,129,103
2Y10,a0795f,160,121,95
2Y11,986f54,152,111,84
2Y12,89634c,137,99,76
2Y13,795945,121,89,69
2Y14,674c3c,103,76,60
2R02,cba695,203,166,149
2R03,caa596,202,165,150
2R04,c5a192,197,161,146
2R05,c29c8c,194,156,140
2R06,bd9584,189,149,132
2R07,b68d7b,182,141,123
2R08,b38672,179,134,114
2R09,ac7e69,172,126,105
2R10,a5755f,165,117,95
2R11,9a6b54,154,107,84
2R12,8c624e,140,98,78
2R13,785444,120,84,68
2R14,5c483c,92,72,60
2R15,514239,81,66,57
3Y01,caab96,202,171,150
3Y02,c8a994,200,169,148
3Y03,c7a792,199,167,146
3Y04,c2a38f,194,163,143
3Y05,be9d88,190,157,136
3Y06,ba9982,186,153,130
3Y07,b49277,180,146,119
3Y08,b0896e,176,137,110
3Y09,a68266,166,130,102
3Y10,9b775d,155,119,93
3Y11,906f54,144,111,84
3Y12,846349,132,99,73
3Y13,76573f,118,87,63
3Y14,6b503a,107,80,58
3R02,cea595,206,165,149
3R03,cba395,203,163,149
3R04,c6a195,198,161,149
3R05,c39a8d,195,154,141
3R06,c29787,194,151,135
3R07,b98d7e,185,141,126
3R08,b58576,181,133,118
3R09,ae7f6e,174,127,110
3R10,a57461,165,116,97
3R11,996a58,153,106,88
3R12,895f4d,137,95,77
3R13,775445,119,84,69
3R14,5e493c,94,73,60
3R15,53433a,83,67,58
4Y01,cbac95,203,172,149
4Y02,c7a992,199,169,146
4Y03,c6a891,198,168,145
4Y04,c2a48d,194,164,141
4Y05,bc9d87,188,157,135
4Y06,b99980,185,153,128
4Y07,b39276,179,146,118
4Y08,ad8b6f,173,139,111
4Y09,a58163,165,129,99
4Y10,99795d,153,121,93
4Y11,8f7054,143,112,84
4Y12,836548,131,101,72
4R04,c6a096,198,160,150
4R05,c39a8e,195,154,142
4R06,c19487,193,148,135
4R07,bc8d80,188,141,128
4R08,b58678,181,134,120
4R09,ad7e71,173,126,113
4R10,a87764,168,119,100
4R11,986b5b,152,107,91
4R12,89604f,137,96,79
4R13,765346,118,83,70
4R14,5d473d,93,71,61
4R15,544239,84,66,57
5Y01,c9ad95,201,173,149
5Y02,c5a991,197,169,145
5Y03,c4a890,196,168,144
5Y04,c0a48d,192,164,141
5Y05,bd9f87,189,159,135
5Y06,b89a7e,184,154,126
5Y07,b19175,177,145,117
5Y08,aa8b6d,170,139,109
5Y09,a38264,163,130,100
5R04,c6a098,198,160,152
5R05,c39990,195,153,144
5R06,c1958c,193,149,140
5R07,be9186,190,145,134
jaune ,dddddd,255,229,43
rouge,dddddd,213,63,119
bleu ,dddddd,0,151,219
noir,dddddd,71,74,78
