Pantone,R,G,B,i
1Y01,119.9808024691358,127.94354938271604,128.57543209876542,0
2Y01,121.99824074074074,127.47672839506173,128.9572839506173,1
3Y01,120.01154320987655,127.41706790123457,128.50456790123457,2
4Y01,120.89481481481481,128.0617901234568,129.8679012345679,3
5Y01,122.12638888888888,127.67191358024691,129.24716049382715,4
1Y02,122.78861111111111,131.14876543209877,131.69901234567902,5
2Y02,120.84537037037038,128.49422839506173,130.1596913580247,6
3Y02,121.75104938271605,128.54694444444445,129.53395061728395,7
4Y02,121.67697530864197,128.86953703703705,130.81882716049384,8
5Y02,121.28935185185185,127.43166666666667,128.9295061728395,9
1R02,119.1329012345679,126.21956790123457,127.24783950617284,10
1YO3,118.93555555555555,126.44864197530865,128.3137037037037,11
2Y03,120.18842592592593,126.82694444444445,128.60055555555556,12
3Y03,120.85567901234568,126.84179012345679,127.96012345679013,13
4Y03,120.44262345679013,127.18151234567901,129.89098765432098,14
5Y03,121.88117283950618,127.38626543209877,129.61512345679012,15
1R03,125.9874074074074,133.4661111111111,135.26302469135803,16
2R03,120.4366049382716,125.6438888888889,125.9120987654321,17
1Y04,118.82206790123456,126.83478395061728,128.51941358024692,18
2Y04,117.1008950617284,123.55987654320988,125.43574074074074,19
3Y04,117.52962962962962,124.33771604938272,126.21601851851852,20
4Y04,117.11697530864197,124.28046296296296,125.6987037037037,21
5Y04,116.328487654321,124.22956790123457,126.10003086419754,22
1R04,127.82376543209877,135.33487654320987,136.159012345679,23
2R04,118.05641975308642,123.32475308641975,124.34296296296296,24
3R04,117.12484567901235,123.76626543209876,124.00777777777778,25
4R04,125.68944444444445,131.65827160493828,133.60543209876542,26
5R04,116.65246913580246,123.16907407407408,123.44407407407408,27
1Y05,116.7645061728395,122.83302469135802,124.52086419753087,28
2Y05,116.43679012345679,121.49456790123457,123.09858024691358,29
3Y05,115.1807098765432,122.3933024691358,123.77237654320987,30
4Y05,118.58635802469136,125.20932098765432,126.41623456790123,31
5Y05,124.09962962962963,132.2908950617284,133.91641975308642,32
1R05,125.03503086419754,133.06444444444443,134.74765432098766,33
2R05,125.97895061728396,131.02601851851853,131.16030864197532,34
3R05,125.84141975308641,131.85824074074074,133.19265432098766,35
4R05,126.98719135802469,131.25611111111112,131.7625925925926,36
5R05,123.56654320987654,129.75743827160494,128.26827160493826,37
1Y06,121.48061728395062,127.53660493827161,128.7598148148148,38
2Y06,121.37033950617284,126.85530864197531,128.41320987654322,39
3Y06,121.11407407407407,127.82703703703703,129.38067901234567,40
4Y06,121.48993827160494,127.8129938271605,130.29157407407408,41
5Y06,119.61006172839507,126.81432098765433,129.83891975308643,42
1R06,121.78506172839506,129.07169753086418,130.8661111111111,43
2R06,120.12756172839507,126.06725308641975,127.72759259259259,44
3R06,121.42027777777778,128.32592592592593,128.4564197530864,45
4R06,117.14126543209876,116.76188271604939,114.56567901234568,46
5R06,117.77277777777778,123.92466049382716,122.8003086419753,47
1Y07,116.2708024691358,118.3383024691358,115.8262037037037,48
2Y07,120.32398148148148,126.06469135802469,127.48981481481482,49
3Y07,120.01564814814814,126.33064814814814,127.66598765432099,50
4Y07,120.47197530864197,126.34206790123457,129.21527777777777,51
5Y07,117.32182098765432,124.93867283950617,125.97546296296296,52
1R07,119.80864197530865,126.35391975308642,129.20077160493827,53
2R07,118.56583333333333,123.70765432098766,124.75777777777778,54
3R07,118.09006172839506,125.10299382716049,125.76950617283951,55
4R07,118.30358024691358,124.9529938271605,126.59191358024691,56
5R07,120.51833333333333,127.67141975308643,128.78629629629629,57
1YO8,119.42246913580247,120.42543209876543,118.29395061728395,58
2Y08,120.97225308641976,119.33645061728394,116.12151234567901,59
3Y08,119.08077160493828,120.20296296296296,118.56129629629629,60
4YO8,118.30003086419752,120.79598765432098,118.99077160493827,61
5Y08,119.04688271604938,120.59666666666666,114.56429012345679,62
1RO8,116.9541049382716,121.88058641975309,122.44277777777778,63
2RO8,119.87734567901235,118.9283950617284,116.6395061728395,64
3R08,117.70966049382716,119.86416666666666,117.79814814814814,65
4RO8,118.35935185185186,119.45145061728395,116.86382716049383,66
1YO9,130.5276851851852,114.14598765432099,100.38598765432099,67
2Y09,130.5613888888889,113.81228395061729,99.06950617283951,68
3YO9,125.49811728395062,114.6583950617284,101.92645061728395,69
4YO9,126.49274691358025,114.1617901234568,94.89651234567901,70
5Y09,128.76716049382716,113.62101851851853,89.76932098765432,71
1RO9,128.06015432098766,115.31682098765432,104.87756172839507,72
2RO9,133.2393827160494,112.87438271604938,97.77145061728395,73
3RO9,132.30163580246915,113.62669753086419,103.5037037037037,74
4RO9,130.2201851851852,111.95395061728395,103.61595679012346,75
1Y10,130.10873456790122,106.73811728395061,86.59077160493827,76
2Y10,130.07222222222222,107.75885802469136,88.47956790123457,77
3Y10,125.17120370370371,107.12873456790123,86.874012345679,78
4Y10,124.5933024691358,108.22141975308642,87.45456790123457,79
1R10,131.77003086419754,108.70987654320987,88.19435185185185,80
2R10,134.43117283950616,105.17098765432098,86.90003086419753,81
3R10,135.9525925925926,104.09194444444445,88.23466049382716,82
1Y11,121.35925925925926,100.33722222222222,81.81793209876543,83
2Y11,123.26141975308641,101.69787037037037,82.46475308641975,84
3Y11,118.58234567901235,100.9562962962963,82.93197530864198,85
4Y11,118.07308641975308,102.374012345679,83.39336419753086,86
1R11,122.53787037037037,99.87570987654321,80.77827160493827,87
2R11,125.56916666666666,99.87922839506173,83.01604938271605,88
3R11,125.96521604938272,99.13302469135803,84.58074074074074,89
1Y12,112.3133024691358,93.27879629629629,78.6733024691358,90
2Y12,113.76425925925926,94.41756172839506,78.83901234567901,91
3Y12,110.56873456790123,94.99305555555556,78.42024691358024,92
1R12,122.47848765432099,103.91864197530865,89.01324074074074,93
2R12,123.27484567901234,100.99962962962962,86.3837962962963,94
3R12,121.95561728395062,99.7921913580247,86.55765432098765,95
1Y13,108.54580246913581,93.71564814814815,81.88864197530864,96
2Y13,109.32629629629629,93.61916666666667,80.27993827160493,97
1R13,108.93873456790124,94.50601851851852,83.19614197530865,98
2R13,109.32645061728395,91.9404938271605,80.97533950617284,99
3R13,104.36675925925925,86.93882716049383,76.80839506172839,100
1Y14,90.8870061728395,81.48089506172839,72.07996913580247,101
1R14,92.5091975308642,84.09145061728395,75.88367283950618,102
2R14,91.24638888888889,82.13864197530864,74.7570987654321,103
3R14,91.58120370370371,82.80447530864197,76.02833333333334,104
4R14,94.84021604938272,84.33043209876543,78.05632716049382,105
1R15,84.4428086419753,81.18138888888889,74.68401234567901,106
2R15,81.36595679012346,78.89675925925926,72.93833333333333,107
3R15,83.46225308641975,80.47475308641975,74.34941358024692,108
4R15,84.01395061728395,80.80481481481482,74.92645061728395,109
